Fips_code,PM2.5 24hr 2012 99th Percentile,SO2 1-hour 2010,Ozone 1-hour 1979,NO2 1-hour,Coal_plants,Power_plants,Airports,Public_Schools,Private_Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
22109,1,0,0,0,0,0,12,34,10,5,2,169.42,4334,1660,76,0,0,0,53
22121,1,16,0.053,37.7,0,0,0,10,3,0,1,559.04,38340,14840,784,62.7,0,0,195
23001,1,0,0,0,0,0,14,37,10,2,2,408.4,13904,5080,274,40.4,0,0,222
23003,2,0,0,0,0,0,20,51,3,6,1,241.54,108277,52190,2788,58.1,0,0,132
23005,2,1.3,0.056,42.2,0,0,31,96,23,8,38,213.07,67055,29995,1935,249.8,0,0,223
23009,1,0.3,0.065,0,0,0,8,34,7,4,8,737.65,30199,14040,862,16.4,0,0,129
23011,1,0,0,23.2,0,0,14,56,8,8,8,555.38,54987,25550,2283,8.7,0,0,70
23017,1,0,0.055,0,0,0,12,33,9,2,6,602.78,34634,16305,1412,28.8,0,0,60
23019,1,0,0.058,0,0,0,25,70,12,6,8,1231.82,57975,24345,1336,64.5,0,0,250
23029,1,0,0.056,0,0,0,11,36,1,2,0,593.03,39715,17775,986,26,0,2,92
23031,1,0,0.055,0,0,0,15,59,16,5,15,192.39,31379,12590,851,34.3,0,0,106
24001,1,4.7,0,0,1,0,2,22,7,2,1,359.65,207641,102135,5633,38.4,34.2,0,235
24003,1,2.6,0.058,0,2,0,13,124,44,3,40,403.21,70416,28725,1552,63.5,29.4,0,244
24005,2,3.9,0.051,39.5,0,0,18,173,87,6,26,950.09,579234,293520,14338,25.3,21.5,3,376
24009,1,0,0.053,0,0,1,6,25,4,1,4,30842.92,827370,408915,20073,91.1,20.7,5,768
24013,1,0,0.052,0,0,0,19,44,11,2,4,6671.33,33406,15160,604,5.6,0,0,71
24015,2,0,0.053,0,0,0,5,29,9,2,6,835.24,168447,86900,4209,63.3,0,0,204
24017,1,0,0.054,0,1,0,14,38,12,1,6,1696.61,102855,48950,1770,52.4,18.1,0,192
24019,1,0.8,0.052,0,0,0,4,13,2,3,6,1586.89,163257,77930,2625,34.5,0,0,91
